Plate,Annotation
031121enzyme1,MQ
031121enzyme1,MQ
031121enzyme1,MQ
031121enzyme1,AS
031121enzyme1,AS
031121enzyme1,AS
031121enzyme1,0
031121enzyme1,0
031121enzyme1,0
031121enzyme1,0.1
031121enzyme1,0.1
031121enzyme1,0.1
031121enzyme1,0.25
031121enzyme1,0.25
031121enzyme1,0.25
031121enzyme1,0.5
031121enzyme1,0.5
031121enzyme1,0.5
031121enzyme1,0.75
031121enzyme1,0.75
031121enzyme1,0.75
031121enzyme1,1
031121enzyme1,1
031121enzyme1,1
031121enzyme1,2
031121enzyme1,2
031121enzyme1,2
031121enzyme1,5
031121enzyme1,5
031121enzyme1,5
031121enzyme1,10
031121enzyme1,10
031121enzyme1,10
031121enzyme1,20
031121enzyme1,20
031121enzyme1,20
031121enzyme1,50
031121enzyme1,50
031121enzyme1,50
031121enzyme1,100
031121enzyme1,100
031121enzyme1,100
031121enzyme1,d1g
031121enzyme1,d1g
031121enzyme1,d1g
031121enzyme1,d2g
031121enzyme1,d2g
031121enzyme1,d2g
031121enzyme1,d3g
031121enzyme1,d3g
031121enzyme1,d3g
031121enzyme1,d4g
031121enzyme1,d4g
031121enzyme1,d4g
031121enzyme1,d1g
031121enzyme1,d1g
031121enzyme1,d2g
031121enzyme1,d2g
031121enzyme1,d3g
031121enzyme1,d3g
031121enzyme1,d4g
031121enzyme1,d4g
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,CMQ
031121enzyme1,CMQ
031121enzyme1,CMQ
031121enzyme1,CAS
031121enzyme1,CAS
031121enzyme1,CAS
031121enzyme3,MQ
031121enzyme3,MQ
031121enzyme3,MQ
031121enzyme3,AS
031121enzyme3,AS
031121enzyme3,AS
031121enzyme3,0
031121enzyme3,0
031121enzyme3,0
031121enzyme3,0.1
031121enzyme3,0.1
031121enzyme3,0.1
031121enzyme3,0.25
031121enzyme3,0.25
031121enzyme3,0.25
031121enzyme3,0.5
031121enzyme3,0.5
031121enzyme3,0.5
031121enzyme3,0.75
031121enzyme3,0.75
031121enzyme3,0.75
031121enzyme3,1
031121enzyme3,1
031121enzyme3,1
031121enzyme3,2
031121enzyme3,2
031121enzyme3,2
031121enzyme3,5
031121enzyme3,5
031121enzyme3,5
031121enzyme3,10
031121enzyme3,10
031121enzyme3,10
031121enzyme3,20
031121enzyme3,20
031121enzyme3,20
031121enzyme3,50
031121enzyme3,50
031121enzyme3,50
031121enzyme3,100
031121enzyme3,100
031121enzyme3,100
031121enzyme3,h1g
031121enzyme3,h1g
031121enzyme3,h1g
031121enzyme3,h1g
031121enzyme3,h1g
031121enzyme3,h2g
031121enzyme3,h2g
031121enzyme3,h2g
031121enzyme3,h2g
031121enzyme3,h2g
031121enzyme3,h3g
031121enzyme3,h3g
031121enzyme3,h3g
031121enzyme3,h3g
031121enzyme3,h3g
031121enzyme3,h4g
031121enzyme3,h4g
031121enzyme3,h4g
031121enzyme3,h4g
031121enzyme3,h4g
031121enzyme3,h1c
031121enzyme3,h1c
031121enzyme3,h1c
031121enzyme3,h1c
031121enzyme3,h1c
031121enzyme3,h2c
031121enzyme3,h2c
031121enzyme3,h2c
031121enzyme3,h2c
031121enzyme3,h2c
031121enzyme3,h3c
031121enzyme3,h3c
031121enzyme3,h3c
031121enzyme3,h3c
031121enzyme3,h3c
031121enzyme3,h4c
031121enzyme3,h4c
031121enzyme3,h4c
031121enzyme3,h4c
031121enzyme3,h4c
031121enzyme3,CMQ
031121enzyme3,CMQ
031121enzyme3,CMQ
031121enzyme3,CAS
031121enzyme3,CAS
031121enzyme3,CAS
031121enzyme3,CAS
031121enzyme5,MQ
031121enzyme5,MQ
031121enzyme5,MQ
031121enzyme5,AS
031121enzyme5,AS
031121enzyme5,AS
031121enzyme5,0
031121enzyme5,0
031121enzyme5,0
031121enzyme5,0.1
031121enzyme5,0.1
031121enzyme5,0.1
031121enzyme5,0.25
031121enzyme5,0.25
031121enzyme5,0.25
031121enzyme5,0.5
031121enzyme5,0.5
031121enzyme5,0.5
031121enzyme5,0.75
031121enzyme5,0.75
031121enzyme5,0.75
031121enzyme5,1
031121enzyme5,1
031121enzyme5,1
031121enzyme5,2
031121enzyme5,2
031121enzyme5,2
031121enzyme5,5
031121enzyme5,5
031121enzyme5,5
031121enzyme5,10
031121enzyme5,10
031121enzyme5,10
031121enzyme5,20
031121enzyme5,20
031121enzyme5,20
031121enzyme5,50
031121enzyme5,50
031121enzyme5,50
031121enzyme5,100
031121enzyme5,100
031121enzyme5,100
031121enzyme5,l1g
031121enzyme5,l1g
031121enzyme5,l1g
031121enzyme5,l1g
031121enzyme5,l1g
031121enzyme5,l2g
031121enzyme5,l2g
031121enzyme5,l2g
031121enzyme5,l2g
031121enzyme5,l2g
031121enzyme5,l3g
031121enzyme5,l3g
031121enzyme5,l3g
031121enzyme5,l3g
031121enzyme5,l3g
031121enzyme5,l4g
031121enzyme5,l4g
031121enzyme5,l4g
031121enzyme5,l4g
031121enzyme5,l4g
031121enzyme5,l1c
031121enzyme5,l1c
031121enzyme5,l1c
031121enzyme5,l1c
031121enzyme5,l1c
031121enzyme5,l2c
031121enzyme5,l2c
031121enzyme5,l2c
031121enzyme5,l2c
031121enzyme5,l2c
031121enzyme5,l3c
031121enzyme5,l3c
031121enzyme5,l3c
031121enzyme5,l3c
031121enzyme5,l3c
031121enzyme5,l4c
031121enzyme5,l4c
031121enzyme5,l4c
031121enzyme5,l4c
031121enzyme5,l4c
031121enzyme5,CMQ
031121enzyme5,CMQ
031121enzyme5,CMQ
031121enzyme5,CAS
031121enzyme5,CAS
031121enzyme5,CAS
031121enzyme7,MQ
031121enzyme7,MQ
031121enzyme7,MQ
031121enzyme7,AS
031121enzyme7,AS
031121enzyme7,AS
031121enzyme7,0
031121enzyme7,0
031121enzyme7,0
031121enzyme7,0.1
031121enzyme7,0.1
031121enzyme7,0.1
031121enzyme7,0.25
031121enzyme7,0.25
031121enzyme7,0.25
031121enzyme7,0.5
031121enzyme7,0.5
031121enzyme7,0.5
031121enzyme7,0.75
031121enzyme7,0.75
031121enzyme7,0.75
031121enzyme7,1
031121enzyme7,1
031121enzyme7,1
031121enzyme7,2
031121enzyme7,2
031121enzyme7,2
031121enzyme7,5
031121enzyme7,5
031121enzyme7,5
031121enzyme7,10
031121enzyme7,10
031121enzyme7,10
031121enzyme7,20
031121enzyme7,20
031121enzyme7,20
031121enzyme7,50
031121enzyme7,50
031121enzyme7,50
031121enzyme7,100
031121enzyme7,100
031121enzyme7,100
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,CMQ
031121enzyme7,CMQ
031121enzyme7,CMQ
031121enzyme7,CAS
031121enzyme7,CAS
031121enzyme7,CAS
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,1
031121enzyme9,1
031121enzyme9,1
031121enzyme9,1
091121enzyme1,0
091121enzyme1,0
091121enzyme1,0
091121enzyme1,0.1
091121enzyme1,0.1
091121enzyme1,0.1
091121enzyme1,0.25
091121enzyme1,0.25
091121enzyme1,0.25
091121enzyme1,0.75
091121enzyme1,0.75
091121enzyme1,0.75
091121enzyme1,1
091121enzyme1,1
091121enzyme1,1
091121enzyme1,2
091121enzyme1,2
091121enzyme1,2
091121enzyme1,5
091121enzyme1,5
091121enzyme1,5
091121enzyme1,10
091121enzyme1,10
091121enzyme1,10
091121enzyme1,20
091121enzyme1,20
091121enzyme1,20
091121enzyme1,25
091121enzyme1,25
091121enzyme1,25
091121enzyme1,50
091121enzyme1,50
091121enzyme1,50
091121enzyme1,75
091121enzyme1,75
091121enzyme1,75
091121enzyme1,80
091121enzyme1,80
091121enzyme1,80
091121enzyme1,100
091121enzyme1,100
091121enzyme1,100
091121enzyme1,dL1
091121enzyme1,dL1
091121enzyme1,dL1
091121enzyme1,dL1
091121enzyme1,dL1
091121enzyme1,dL2
091121enzyme1,dL2
091121enzyme1,dL2
091121enzyme1,dL2
091121enzyme1,dL2
091121enzyme1,dL4
091121enzyme1,dL4
091121enzyme1,dL4
091121enzyme1,dL4
091121enzyme1,dL4
091121enzyme1,dL5
091121enzyme1,dL5
091121enzyme1,dL5
091121enzyme1,dL5
091121enzyme1,dL5
091121enzyme1,dL6
091121enzyme1,dL6
091121enzyme1,dL6
091121enzyme1,dL6
091121enzyme1,dL6
091121enzyme1,dL7
091121enzyme1,dL7
091121enzyme1,dL7
091121enzyme1,dL7
091121enzyme1,dL7
091121enzyme1,dL8
091121enzyme1,dL8
091121enzyme1,dL8
091121enzyme1,dL8
091121enzyme1,dL8
091121enzyme1,dL9
091121enzyme1,dL9
091121enzyme1,dL9
091121enzyme1,dL9
091121enzyme1,dL9
091121enzyme1,AS
091121enzyme1,AS
091121enzyme1,AS
091121enzyme1,AS
091121enzyme1,AS
091121enzyme1,CAS
091121enzyme1,CAS
091121enzyme1,CAS
091121enzyme2,0
091121enzyme2,0
091121enzyme2,0
091121enzyme2,0.1
091121enzyme2,0.1
091121enzyme2,0.1
091121enzyme2,0.25
091121enzyme2,0.25
091121enzyme2,0.25
091121enzyme2,0.75
091121enzyme2,0.75
091121enzyme2,0.75
091121enzyme2,1
091121enzyme2,1
091121enzyme2,1
091121enzyme2,2
091121enzyme2,2
091121enzyme2,2
091121enzyme2,5
091121enzyme2,5
091121enzyme2,5
091121enzyme2,10
091121enzyme2,10
091121enzyme2,10
091121enzyme2,20
091121enzyme2,20
091121enzyme2,20
091121enzyme2,25
091121enzyme2,25
091121enzyme2,25
091121enzyme2,50
091121enzyme2,50
091121enzyme2,50
091121enzyme2,75
091121enzyme2,75
091121enzyme2,75
091121enzyme2,80
091121enzyme2,80
091121enzyme2,80
091121enzyme2,100
091121enzyme2,100
091121enzyme2,100
091121enzyme2,dS4
091121enzyme2,dS4
091121enzyme2,dS4
091121enzyme2,dS4
091121enzyme2,dS4
091121enzyme2,dS5
091121enzyme2,dS5
091121enzyme2,dS5
091121enzyme2,dS5
091121enzyme2,dS5
091121enzyme2,dS6
091121enzyme2,dS6
091121enzyme2,dS6
091121enzyme2,dS6
091121enzyme2,dS6
091121enzyme2,hL1
091121enzyme2,hL1
091121enzyme2,hL1
091121enzyme2,hL1
091121enzyme2,hL1
091121enzyme2,hL3
091121enzyme2,hL3
091121enzyme2,hL3
091121enzyme2,hL3
091121enzyme2,hL3
091121enzyme2,hL4
091121enzyme2,hL4
091121enzyme2,hL4
091121enzyme2,hL4
091121enzyme2,hL4
091121enzyme2,hL6
091121enzyme2,hL6
091121enzyme2,hL6
091121enzyme2,hL6
091121enzyme2,hL6
091121enzyme2,hL7
091121enzyme2,hL7
091121enzyme2,hL7
091121enzyme2,hL7
091121enzyme2,hL7
091121enzyme2,hL8
091121enzyme2,hL8
091121enzyme2,hL8
091121enzyme2,hL8
091121enzyme2,hL8
091121enzyme2,AS
091121enzyme2,AS
091121enzyme2,AS
091121enzyme2,AS
091121enzyme2,AS
091121enzyme2,CAS
091121enzyme2,CAS
091121enzyme2,CAS
091121enzyme3,0
091121enzyme3,0
091121enzyme3,0
091121enzyme3,0.1
091121enzyme3,0.1
091121enzyme3,0.1
091121enzyme3,0.25
091121enzyme3,0.25
091121enzyme3,0.25
091121enzyme3,0.75
091121enzyme3,0.75
091121enzyme3,0.75
091121enzyme3,1
091121enzyme3,1
091121enzyme3,1
091121enzyme3,2
091121enzyme3,2
091121enzyme3,2
091121enzyme3,5
091121enzyme3,5
091121enzyme3,5
091121enzyme3,10
091121enzyme3,10
091121enzyme3,10
091121enzyme3,20
091121enzyme3,20
091121enzyme3,20
091121enzyme3,25
091121enzyme3,25
091121enzyme3,25
091121enzyme3,50
091121enzyme3,50
091121enzyme3,50
091121enzyme3,75
091121enzyme3,75
091121enzyme3,75
091121enzyme3,80
091121enzyme3,80
091121enzyme3,80
091121enzyme3,100
091121enzyme3,100
091121enzyme3,100
091121enzyme3,hL9
091121enzyme3,hL9
091121enzyme3,hL9
091121enzyme3,hL9
091121enzyme3,hL9
091121enzyme3,hS4
091121enzyme3,hS4
091121enzyme3,hS4
091121enzyme3,hS4
091121enzyme3,hS4
091121enzyme3,hS5
091121enzyme3,hS5
091121enzyme3,hS5
091121enzyme3,hS5
091121enzyme3,hS5
091121enzyme3,hS6
091121enzyme3,hS6
091121enzyme3,hS6
091121enzyme3,hS6
091121enzyme3,hS6
091121enzyme3,lL1
091121enzyme3,lL1
091121enzyme3,lL1
091121enzyme3,lL1
091121enzyme3,lL1
091121enzyme3,lL4
091121enzyme3,lL4
091121enzyme3,lL4
091121enzyme3,lL4
091121enzyme3,lL4
091121enzyme3,lL7
091121enzyme3,lL7
091121enzyme3,lL7
091121enzyme3,lL7
091121enzyme3,lL7
091121enzyme3,lL8
091121enzyme3,lL8
091121enzyme3,lL8
091121enzyme3,lL8
091121enzyme3,lL8
091121enzyme3,AS
091121enzyme3,AS
091121enzyme3,AS
091121enzyme3,AS
091121enzyme3,AS
091121enzyme3,CAS
091121enzyme3,CAS
091121enzyme3,CAS
091121enzyme4,0
091121enzyme4,0
091121enzyme4,0
091121enzyme4,0.1
091121enzyme4,0.1
091121enzyme4,0.1
091121enzyme4,0.25
091121enzyme4,0.25
091121enzyme4,0.25
091121enzyme4,0.75
091121enzyme4,0.75
091121enzyme4,0.75
091121enzyme4,1
091121enzyme4,1
091121enzyme4,1
091121enzyme4,2
091121enzyme4,2
091121enzyme4,2
091121enzyme4,5
091121enzyme4,5
091121enzyme4,5
091121enzyme4,10
091121enzyme4,10
091121enzyme4,10
091121enzyme4,20
091121enzyme4,20
091121enzyme4,20
091121enzyme4,25
091121enzyme4,25
091121enzyme4,25
091121enzyme4,50
091121enzyme4,50
091121enzyme4,50
091121enzyme4,75
091121enzyme4,75
091121enzyme4,75
091121enzyme4,80
091121enzyme4,80
091121enzyme4,80
091121enzyme4,100
091121enzyme4,100
091121enzyme4,100
091121enzyme4,lS4
091121enzyme4,lS4
091121enzyme4,lS4
091121enzyme4,lS4
091121enzyme4,lS4
091121enzyme4,lS5
091121enzyme4,lS5
091121enzyme4,lS5
091121enzyme4,lS5
091121enzyme4,lS5
091121enzyme4,lS6
091121enzyme4,lS6
091121enzyme4,lS6
091121enzyme4,lS6
091121enzyme4,lS6
091121enzyme4,pL1
091121enzyme4,pL1
091121enzyme4,pL1
091121enzyme4,pL1
091121enzyme4,pL1
091121enzyme4,pL3
091121enzyme4,pL3
091121enzyme4,pL3
091121enzyme4,pL3
091121enzyme4,pL3
091121enzyme4,pL6
091121enzyme4,pL6
091121enzyme4,pL6
091121enzyme4,pL6
091121enzyme4,pL6
091121enzyme4,pS4
091121enzyme4,pS4
091121enzyme4,pS4
091121enzyme4,pS4
091121enzyme4,pS4
091121enzyme4,pS6
091121enzyme4,pS6
091121enzyme4,pS6
091121enzyme4,pS6
091121enzyme4,pS6
091121enzyme4,AS
091121enzyme4,AS
091121enzyme4,AS
091121enzyme4,AS
091121enzyme4,AS
091121enzyme4,CAS
091121enzyme4,CAS
091121enzyme4,CAS
091121enzyme4,CAS
091121enzyme4,CAS
101221enzyme,0
101221enzyme,0
101221enzyme,0
101221enzyme,0.25
101221enzyme,0.25
101221enzyme,0.25
101221enzyme,0.5
101221enzyme,0.5
101221enzyme,0.5
101221enzyme,0.75
101221enzyme,0.75
101221enzyme,0.75
101221enzyme,1
101221enzyme,1
101221enzyme,1
101221enzyme,2
101221enzyme,2
101221enzyme,2
101221enzyme,5
101221enzyme,5
101221enzyme,5
101221enzyme,10
101221enzyme,10
101221enzyme,10
101221enzyme,25
101221enzyme,25
101221enzyme,
101221enzyme,50
101221enzyme,50
101221enzyme,50
101221enzyme,75
101221enzyme,75
101221enzyme,75
101221enzyme,100
101221enzyme,100
101221enzyme,100
101221enzyme,s1
101221enzyme,s1
101221enzyme,s1
101221enzyme,s1
101221enzyme,s1
101221enzyme,s2
101221enzyme,s2
101221enzyme,s2
101221enzyme,s2
101221enzyme,s2
101221enzyme,s3
101221enzyme,s3
101221enzyme,s3
101221enzyme,s3
101221enzyme,s3
101221enzyme,s4
101221enzyme,s4
101221enzyme,s4
101221enzyme,s4
101221enzyme,s4
101221enzyme,s5
101221enzyme,s5
101221enzyme,s5
101221enzyme,s5
101221enzyme,s5
101221enzyme,s6
101221enzyme,s6
101221enzyme,s6
101221enzyme,s6
101221enzyme,s6
101221enzyme,s7
101221enzyme,s7
101221enzyme,s7
101221enzyme,s7
101221enzyme,s7
101221enzyme,s8
101221enzyme,s8
101221enzyme,s8
101221enzyme,s8
101221enzyme,s8
101221enzyme,s9
101221enzyme,s9
101221enzyme,s9
101221enzyme,s9
101221enzyme,s9
101221enzyme,CAS
101221enzyme,CAS
101221enzyme,CAS
101221enzyme,CAS
101221enzyme,CAS
101221enzyme,CAS
101221enzyme,CAS
101221enzyme,AS
101221enzyme,AS
101221enzyme,AS
101221enzyme,AS
101221enzyme,AS
101221enzyme,AS
101221enzyme,AS
101221enzyme,AS
161121enzyme1,0
161121enzyme1,0
161121enzyme1,0
161121enzyme1,0.25
161121enzyme1,0.25
161121enzyme1,0.25
161121enzyme1,0.5
161121enzyme1,0.5
161121enzyme1,0.5
161121enzyme1,0.75
161121enzyme1,0.75
161121enzyme1,0.75
161121enzyme1,1
161121enzyme1,1
161121enzyme1,1
161121enzyme1,2
161121enzyme1,2
161121enzyme1,2
161121enzyme1,5
161121enzyme1,5
161121enzyme1,5
161121enzyme1,10
161121enzyme1,10
161121enzyme1,10
161121enzyme1,25
161121enzyme1,25
161121enzyme1,25
161121enzyme1,50
161121enzyme1,50
161121enzyme1,50
161121enzyme1,75
161121enzyme1,75
161121enzyme1,75
161121enzyme1,100
161121enzyme1,100
161121enzyme1,100
161121enzyme1,dS13
161121enzyme1,dS13
161121enzyme1,dS13
161121enzyme1,dS13
161121enzyme1,dS13
161121enzyme1,dS14
161121enzyme1,dS14
161121enzyme1,dS14
161121enzyme1,dS14
161121enzyme1,dS14
161121enzyme1,dS15
161121enzyme1,dS15
161121enzyme1,dS15
161121enzyme1,dS15
161121enzyme1,dS15
161121enzyme1,dS31
161121enzyme1,dS31
161121enzyme1,dS31
161121enzyme1,dS31
161121enzyme1,dS31
161121enzyme1,dS33
161121enzyme1,dS33
161121enzyme1,dS33
161121enzyme1,dS33
161121enzyme1,dS33
161121enzyme1,hS7
161121enzyme1,hS7
161121enzyme1,hS7
161121enzyme1,hS7
161121enzyme1,hS7
161121enzyme1,hS13
161121enzyme1,hS13
161121enzyme1,hS13
161121enzyme1,hS13
161121enzyme1,hS13
161121enzyme1,hS14
161121enzyme1,hS14
161121enzyme1,hS14
161121enzyme1,hS14
161121enzyme1,hS14
161121enzyme1,AS
161121enzyme1,AS
161121enzyme1,AS
161121enzyme1,AS
161121enzyme1,AS
161121enzyme1,CAS
161121enzyme1,CAS
161121enzyme1,CAS
161121enzyme2,0
161121enzyme2,0
161121enzyme2,0
161121enzyme2,0.25
161121enzyme2,0.25
161121enzyme2,0.25
161121enzyme2,0.5
161121enzyme2,0.5
161121enzyme2,0.5
161121enzyme2,0.75
161121enzyme2,0.75
161121enzyme2,0.75
161121enzyme2,1
161121enzyme2,1
161121enzyme2,1
161121enzyme2,2
161121enzyme2,2
161121enzyme2,2
161121enzyme2,5
161121enzyme2,5
161121enzyme2,5
161121enzyme2,10
161121enzyme2,10
161121enzyme2,10
161121enzyme2,25
161121enzyme2,25
161121enzyme2,25
161121enzyme2,50
161121enzyme2,50
161121enzyme2,50
161121enzyme2,75
161121enzyme2,75
161121enzyme2,75
